S0 f (kHz),S0 Phase velocity (m/ms),S0 Energy velocity (m/ms),S0 Propagation time (micsec),S0 Coincidence angle (deg),S0 Wavelength (mm),S0 Wavenumber (rad/mm),S0 Attenuation (Np/m),S1 f (kHz),S1 Phase velocity (m/ms),S1 Energy velocity (m/ms),S1 Propagation time (micsec),S1 Coincidence angle (deg),S1 Wavelength (mm),S1 Wavenumber (rad/mm),S1 Attenuation (Np/m),S2 f (kHz),S2 Phase velocity (m/ms),S2 Energy velocity (m/ms),S2 Propagation time (micsec),S2 Coincidence angle (deg),S2 Wavelength (mm),S2 Wavenumber (rad/mm),S2 Attenuation (Np/m)
357,6.51121791197606,6.0463991120365,16.5387692983963,3.01964291222146,18.2387056357873,0.344497325229646,0,1095.24658203125,15.8330043475348,0.113924874231634,877.771432046333,1.24133041680825,14.4561093431315,0.434638750858986,0,1674.5,10.9329778210976,5.5526419387277,18.009445072,1.79783385533917,6.52909992302035,0.962335602343332,0
365.5,6.49908967121688,6.0084210763103,16.6433075728123,3.02528324013394,17.7813670895127,0.353357831012069,0,1095.29915364583,15.7330043475348,0.120555932653661,829.490492909085,1.24922164027165,14.3641162281242,0.437422338234597,0,1683,10.8801686821167,5.59405858223534,17.8761088268834,1.80656289805784,6.46474669169144,0.971915158757079,0
374,6.48652810641824,5.96906059287398,16.7530549311868,3.03114735565368,17.3436580385514,0.362275668328639,0,1095.35856119792,15.6330043475348,0.127337595252774,785.314029226743,1.25721384383552,14.27204287374,0.440244284771623,0,1691.5,10.8291481046117,5.63407022878241,17.749157525431,1.81507720175895,6.40209760840182,0.981426040573612,0
382.5,6.47352759834652,5.92826264215517,16.868348458267,3.03724038155626,16.9242551590759,0.371253284007015,0,1095.41796875,15.5330043475348,0.134262187090276,744.811343887624,1.26530897842894,14.1799795061421,0.443102566153782,0,1700,10.7798301022132,5.67269395094906,17.6283086774441,1.82338402514877,6.34107653071363,0.99087044238409,0
391,6.46006004956148,5.88598351098287,16.9895141251086,3.04357819579102,16.5218927098759,0.380294523001219,0,1095.47737630208,15.4330043475348,0.14133952690452,707.516164728313,1.2735090455667,14.0879261237058,0.445997888689014,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
399.5,6.44611925584683,5.84217721778945,17.1169062957385,3.05016665288348,16.1354674739595,0.389402124067357,0,1095.54361979167,15.3330043475348,0.148573580394194,673.067174760686,1.28181609899964,13.9957953937522,0.448933778353494,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
408,6.43169406039276,5.7967927833624,17.2509185229139,3.05701414936729,15.7639560303744,0.398579220537851,0,1095.61669921875,15.2330043475348,0.155970598676706,641.14647791587,1.29023224643008,13.903589054819,0.451911034079492,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
416.5,6.41675630562561,5.74978360609659,17.3919588719771,3.06413744640532,15.4063776845753,0.407830149034334,0,1095.69661458333,15.1330043475348,0.163536832868784,611.483041745318,1.29875965129532,13.8113088478324,0.454930475916893,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
425,6.40129950764325,5.70110100009084,17.5404715682824,3.07154330538367,15.0618811944547,0.417158071163969,0,1095.77652994792,15.0330043475348,0.17126439038592,583.892540502226,1.3074005346223,13.7190421009011,0.457990088591308,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
433.5,6.38529956321383,5.65068197927101,17.6969789428675,3.07924722466313,14.7296414376328,0.42656743097131,0,1095.86328125,14.9330043475348,0.179167746535506,558.136170899393,1.31615717695694,13.6267038078887,0.461093555401281,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
